752, 64, 2000, 20
753, 256, 1000, 20
754, 32, 4000, 12
755, 4, 3000, 19
756, 32, 3000, 20
757, 64, 1000, 20
758, 64, 4000, 20
759, 16, 4000, 10
760, 64, 4000, 20
761, 32, 4000, 12
762, 64, 4000, 16
763, 8, 500, 20
764, 32, 2000, 20
765, 64, 2000, 20
766, 8, 4000, 20
767, 16, 3000, 19
768, 32, 3000, 16
769, 64, 4000, 19
770, 64, 3000, 20
771, 64, 2000, 20
772, 32, 4000, 17
773, 64, 3000, 14
774, 8, 500, 20
775, 8, 2000, 20
776, 64, 4000, 19
777, 16, 4000, 12
778, 32, 3000, 18
779, 8, 3000, 16
780, 64, 3000, 18
781, 32, 3000, 17
782, 64, 500, 13
783, 32, 4000, 20
784, 64, 4000, 20
785, 32, 4000, 10
786, 64, 3000, 20
787, 64, 2000, 20
788, 8, 4000, 20
789, 4, 250, 20
790, 64, 1000, 20
791, 32, 4000, 20
792, 64, 3000, 13
793, 32, 3000, 14
794, 64, 2000, 20
795, 4, 3000, 20
796, 32, 2000, 20
797, 32, 4000, 20
798, 64, 4000, 20
799, 32, 3000, 20
800, 64, 3000, 10
801, 16, 2000, 13
802, 64, 4000, 12
803, 4, 3000, 19
804, 64, 4000, 20
805, 64, 500, 20
806, 64, 4000, 14
807, 32, 4000, 18
808, 64, 2000, 20
809, 32, 4000, 19
810, 64, 500, 12
811, 4, 3000, 10
812, 8, 3000, 20
813, 8, 3000, 14
814, 64, 4000, 20
815, 64, 3000, 20
816, 16, 4000, 20
817, 32, 2000, 15
818, 64, 4000, 20
819, 32, 4000, 20
820, 16, 4000, 20
821, 16, 4000, 20
822, 64, 4000, 17
823, 64, 4000, 11
824, 64, 2000, 11
825, 32, 3000, 20
826, 8, 4000, 20
827, 64, 4000, 20
828, 64, 500, 20
829, 64, 4000, 20
830, 64, 3000, 19
831, 64, 4000, 20
832, 64, 500, 17
833, 16, 1000, 10
834, 16, 4000, 20
835, 16, 4000, 18
836, 64, 4000, 20
837, 32, 3000, 18
838, 64, 1000, 20
839, 64, 3000, 20
840, 64, 3000, 20
841, 64, 4000, 15
842, 64, 4000, 17
843, 16, 4000, 17
844, 16, 4000, 20
845, 64, 2000, 20
846, 64, 4000, 20
847, 4, 3000, 16
848, 64, 4000, 16
849, 64, 2000, 15
850, 64, 4000, 13
851, 64, 2000, 20
852, 256, 1000, 20
853, 32, 4000, 12
854, 4, 3000, 19
855, 32, 3000, 20
856, 64, 1000, 20
857, 64, 4000, 20
858, 16, 4000, 10
859, 64, 2000, 20
860, 256, 1000, 20
861, 32, 4000, 12
862, 4, 3000, 19
863, 32, 3000, 20
864, 64, 1000, 20
865, 64, 4000, 20
866, 16, 4000, 10
867, 64, 4000, 20
868, 32, 4000, 12
869, 64, 4000, 16
870, 8, 500, 20
871, 32, 2000, 20
872, 64, 2000, 20
873, 8, 4000, 20
874, 16, 3000, 19
875, 32, 3000, 16
876, 64, 4000, 19
877, 64, 3000, 20
878, 64, 2000, 20
879, 32, 4000, 17
880, 64, 3000, 14
881, 8, 500, 20
882, 8, 2000, 20
883, 64, 4000, 19
884, 16, 4000, 12
885, 32, 3000, 18
886, 8, 3000, 16
887, 64, 3000, 18
888, 32, 3000, 17
889, 64, 500, 13
890, 32, 4000, 20
891, 64, 4000, 20
892, 32, 4000, 10
893, 64, 3000, 20
894, 64, 2000, 20
895, 8, 4000, 20
896, 4, 250, 20
897, 64, 1000, 20
898, 32, 4000, 20
899, 64, 3000, 13
900, 32, 3000, 14
901, 64, 2000, 20
902, 4, 3000, 20
903, 32, 2000, 20
904, 32, 4000, 20
905, 64, 4000, 20
906, 32, 3000, 20
907, 64, 3000, 10
908, 16, 2000, 13
909, 64, 4000, 12
910, 4, 3000, 19
911, 64, 4000, 20
912, 64, 500, 20
913, 64, 4000, 14
914, 32, 4000, 18
915, 64, 2000, 20
916, 32, 4000, 19
917, 64, 500, 12
918, 4, 3000, 10
919, 8, 3000, 20
920, 8, 3000, 14
921, 64, 4000, 20
922, 64, 3000, 20
923, 16, 4000, 20
924, 32, 2000, 15
925, 64, 4000, 20
926, 32, 4000, 20
927, 16, 4000, 20
928, 16, 4000, 20
929, 64, 4000, 17
930, 64, 4000, 11
931, 64, 2000, 11
932, 32, 3000, 20
933, 8, 4000, 20
934, 64, 4000, 20
935, 64, 500, 20
936, 64, 4000, 20
937, 64, 3000, 19
938, 64, 4000, 20
939, 64, 500, 17
940, 16, 1000, 10
941, 16, 4000, 20
942, 16, 4000, 18
943, 64, 4000, 20
944, 32, 3000, 18
945, 64, 1000, 20
946, 64, 3000, 20
947, 64, 3000, 20
948, 64, 4000, 15
949, 64, 4000, 17
950, 16, 4000, 17
951, 16, 4000, 20
952, 64, 2000, 20
953, 64, 4000, 20
954, 4, 3000, 16
955, 64, 4000, 16
956, 64, 2000, 15
957, 64, 4000, 13
958, 64, 2000, 20
959, 256, 1000, 20
960, 32, 4000, 12
961, 4, 3000, 19
962, 32, 3000, 20
963, 64, 1000, 20
964, 64, 4000, 20
965, 16, 4000, 10
966, 64, 2000, 20
967, 256, 1000, 20
968, 32, 4000, 12
969, 4, 3000, 19
970, 32, 3000, 20
971, 64, 1000, 20
972, 64, 4000, 20
973, 16, 4000, 10
974, 64, 4000, 20
975, 32, 4000, 12
976, 64, 4000, 16
977, 8, 500, 20
978, 32, 2000, 20
979, 64, 2000, 20
980, 8, 4000, 20
981, 16, 3000, 19
982, 32, 3000, 16
983, 64, 4000, 19
984, 64, 3000, 20
985, 64, 2000, 20
986, 32, 4000, 17
987, 64, 3000, 14
988, 8, 500, 20
989, 8, 2000, 20
990, 64, 4000, 19
991, 16, 4000, 12
992, 32, 3000, 18
993, 8, 3000, 16
994, 64, 3000, 18
995, 32, 3000, 17
996, 64, 500, 13
997, 32, 4000, 20
998, 64, 4000, 20
999, 32, 4000, 10
1000, 64, 3000, 20
1001, 64, 2000, 20
1002, 8, 4000, 20
1003, 4, 250, 20
1004, 64, 1000, 20
1005, 32, 4000, 20
1006, 64, 3000, 13
