1, 64, 2000, 20
2, 64, 4000, 20
3, 32, 4000, 12
4, 4, 3000, 19
5, 32, 3000, 20
6, 64, 1000, 20
7, 64, 4000, 20
8, 16, 4000, 10
9, 64, 4000, 20
10, 32, 4000, 12
11, 64, 4000, 16
12, 8, 500, 20
13, 32, 2000, 20
14, 64, 2000, 20
15, 8, 4000, 20
16, 16, 3000, 19
17, 32, 3000, 16
18, 64, 4000, 19
19, 64, 3000, 20
20, 64, 2000, 20
21, 32, 4000, 17
22, 64, 3000, 14
23, 8, 500, 20
24, 8, 2000, 20
25, 64, 4000, 19
26, 16, 4000, 12
27, 32, 3000, 18
28, 8, 3000, 16
29, 64, 3000, 18
30, 32, 3000, 17
31, 64, 500, 13
32, 32, 4000, 20
33, 64, 4000, 20
34, 32, 4000, 10
35, 64, 3000, 20
36, 64, 2000, 20
37, 8, 4000, 20
38, 4, 250, 20
39, 64, 1000, 20
40, 32, 4000, 20
41, 64, 3000, 13
42, 32, 3000, 14
43, 64, 2000, 20
44, 4, 3000, 20
45, 32, 2000, 20
46, 32, 4000, 20
47, 64, 4000, 20
48, 32, 3000, 20
49, 64, 3000, 10
50, 16, 2000, 13
51, 64, 4000, 12
52, 4, 3000, 19
53, 64, 4000, 20
54, 64, 500, 20
55, 64, 4000, 14
56, 32, 4000, 18
57, 64, 2000, 20
58, 32, 4000, 19
59, 64, 500, 12
60, 4, 3000, 10
61, 8, 3000, 20
62, 8, 3000, 14
63, 64, 4000, 20
64, 64, 3000, 20
65, 16, 4000, 20
66, 32, 2000, 15
67, 64, 4000, 20
68, 32, 4000, 20
69, 16, 4000, 20
70, 16, 4000, 20
71, 64, 4000, 17
72, 64, 4000, 11
73, 64, 2000, 11
74, 32, 3000, 20
75, 8, 4000, 20
76, 64, 4000, 20
77, 64, 500, 20
78, 64, 4000, 20
79, 64, 3000, 19
80, 64, 4000, 20
81, 64, 500, 17
82, 16, 1000, 10
83, 16, 4000, 20
84, 16, 4000, 18
85, 64, 4000, 20
86, 32, 3000, 18
87, 64, 1000, 20
88, 64, 3000, 20
89, 64, 3000, 20
90, 64, 4000, 15
91, 64, 4000, 17
92, 16, 4000, 17
93, 16, 4000, 20
94, 64, 2000, 20
95, 64, 4000, 20
96, 4, 3000, 16
97, 64, 4000, 16
98, 64, 2000, 15
99, 64, 4000, 13
101, 12, 100, 10
102, 12, 100, 10
103, 12, 100, 10
105, 12, 100, 10
106, 12, 100, 10
107, 12, 100, 10
